Title,Battery Size (kWh),Top Speed (km/h),Range (km),Efficiency (Wh/km),Fastcharge Speed (km/h),price_pounds,Clusters
Abarth 500e Hatchback,37.8,155,225,168,370,34195.0,2
Porsche Taycan GTS Sport Turismo,83.7,250,425,197,1050,111200.0,3
Mercedes EQE 350 4MATIC,89.0,210,475,187,600,50830.0,0
NIO EL6 75 kWh,70.5,200,350,201,470,50830.0,0
Citroen e-Berlingo XL 50 kWh,46.3,135,205,226,330,33315.0,1
Genesis GV60 Sport Plus,74.0,235,365,203,950,67505.0,0
Mercedes EQE SUV AMG 43 4MATIC,90.6,210,415,218,620,50830.0,0
Peugeot e-Traveller Standard 50 kWh,46.3,130,185,250,290,42785.0,1
Opel Zafira-e Life L 75 kWh,68.0,130,260,262,280,50830.0,1
Porsche Taycan Sport Turismo,71.0,230,380,187,930,80200.0,3
Citroen e-SpaceTourer M 50 kWh,46.3,130,185,250,290,37045.0,1
Mercedes EQE 350,89.0,210,510,175,640,77345.0,0
Fiat E-Ulysse L3 75 kWh,68.0,130,260,262,280,50830.0,1
VinFast VF 8 Eco Extended Range,87.7,200,425,206,550,50830.0,0
Porsche Taycan Turbo,83.7,260,445,188,1090,125800.0,3
Porsche Taycan Plus Sport Turismo,83.7,230,445,188,1090,84654.0,3
Peugeot e-Expert Combi Long 75 kWh,68.0,130,260,262,280,50830.0,1
Opel Combo-e Life XL 50 kWh,46.3,135,200,232,320,34685.0,1
VinFast VF 8 Eco Standard Range,82.0,200,405,202,560,50830.0,0
Toyota PROACE Shuttle M 75 kWh,68.0,130,265,257,290,50830.0,1
Opel Zafira-e Life M 50 kWh,46.3,130,185,250,290,42735.0,1
Abarth 500e Convertible,37.8,155,225,168,370,37195.0,2
Porsche Taycan 4S Sport Turismo,71.0,250,370,192,910,91700.0,3
Fiat 500e Cabrio 24 kWh,21.3,135,135,158,230,50830.0,2
Opel Vivaro-e Combi M 50 kWh,46.3,130,185,250,290,36995.0,1
Mercedes eVito Tourer Long 60 kWh,60.0,160,210,286,310,50830.0,1
NIO EL7 75 kWh,70.5,200,340,207,460,50830.0,0
Citroen e-SpaceTourer M 75 kWh,68.0,130,265,257,290,50830.0,1
Porsche Taycan Turbo Sport Turismo,83.7,260,405,207,1000,126800.0,3
VinFast VF 8 Plus Extended Range,87.7,200,425,206,550,50830.0,0
Toyota PROACE Shuttle M 50 kWh,46.3,130,185,250,290,50830.0,1
Citroen e-SpaceTourer XL 75 kWh,68.0,130,260,262,280,50830.0,1
Mercedes eVito Tourer Extra-Long 60 kWh,60.0,160,205,293,300,50830.0,1
Mercedes EQE AMG 53 4MATIC+,90.6,220,465,195,690,50830.0,0
Fiat E-Ulysse L2 75 kWh,68.0,130,265,257,290,50830.0,1
Opel Zafira-e Life L 50 kWh,46.3,130,180,257,290,43575.0,1
Opel Vivaro-e Combi L 75 kWh,68.0,130,260,262,280,50830.0,1
Peugeot e-Traveller Standard 75 kWh,68.0,130,265,257,290,50830.0,1
Citroen e-Jumpy Combi M 50 kWh,46.3,130,185,250,290,50830.0,1
Porsche Taycan 4S Plus Sport Turismo,83.7,250,430,195,1060,95996.0,3
Mercedes EQV 250 Extra-Long,60.0,160,210,286,200,50830.0,1
Citroen e-SpaceTourer XL 50 kWh,46.3,130,180,257,290,37885.0,1
Fiat E-Ulysse L3 50 kWh,46.3,130,180,257,290,50830.0,1
